*Node coordinates
*node i, xi, yi, zi
    136,   1.10000002,  0.100000001, 0.0833333358
    137,           1.,  0.100000001, 0.0833333358
    138,  0.899999976,  0.100000001, 0.0833333358
    139,  0.800000012,  0.100000001, 0.0833333358
    140,  0.699999988,  0.100000001, 0.0833333358
    141,  0.600000024,  0.100000001, 0.0833333358
    142,          0.5,  0.100000001, 0.0833333358
    143,  0.400000006,  0.100000001, 0.0833333358
    144,  0.300000012,  0.100000001, 0.0833333358
    145,  0.200000003,  0.100000001, 0.0833333358
    146,  0.100000001,  0.100000001, 0.0833333358
    147,           0.,  0.100000001, 0.0833333358
    148,           2.,  0.100000001,           0.
    149,   1.89999998,  0.100000001,           0.
    150,   1.79999995,  0.100000001,           0.
    151,   1.70000005,  0.100000001,           0.
    152,   1.60000002,  0.100000001,           0.
    153,          1.5,  0.100000001,           0.
    154,   1.39999998,  0.100000001,           0.
    155,   1.29999995,  0.100000001,           0.
    156,   1.20000005,  0.100000001,           0.
    157,   1.10000002,  0.100000001,           0.
    158,           1.,  0.100000001,           0.
    159,  0.899999976,  0.100000001,           0.
    160,  0.800000012,  0.100000001,           0.
    161,  0.699999988,  0.100000001,           0.
    162,  0.600000024,  0.100000001,           0.
    163,          0.5,  0.100000001,           0.
    164,  0.400000006,  0.100000001,           0.
    165,  0.300000012,  0.100000001,           0.
    166,  0.200000003,  0.100000001,           0.
    167,  0.100000001,  0.100000001,           0.
    168,           0.,  0.100000001,           0.
    169,           2.,  0.200000003,         0.25
    170,   1.89999998,  0.200000003,         0.25
    171,   1.79999995,  0.200000003,         0.25
    172,   1.70000005,  0.200000003,         0.25
    173,   1.60000002,  0.200000003,         0.25
    174,          1.5,  0.200000003,         0.25
    175,   1.39999998,  0.200000003,         0.25
    176,   1.29999995,  0.200000003,         0.25
    177,   1.20000005,  0.200000003,         0.25
    178,   1.10000002,  0.200000003,         0.25
    179,           1.,  0.200000003,         0.25
    180,  0.899999976,  0.200000003,         0.25
    181,  0.800000012,  0.200000003,         0.25
    182,  0.699999988,  0.200000003,         0.25
    183,  0.600000024,  0.200000003,         0.25
    184,          0.5,  0.200000003,         0.25
    185,  0.400000006,  0.200000003,         0.25
    186,  0.300000012,  0.200000003,         0.25
    187,  0.200000003,  0.200000003,         0.25
    188,  0.100000001,  0.200000003,         0.25
    189,           0.,  0.200000003,         0.25
    190,           2.,  0.200000003,  0.166666672
    191,   1.89999998,  0.200000003,  0.166666672
    192,   1.79999995,  0.200000003,  0.166666672
    193,   1.70000005,  0.200000003,  0.166666672
    194,   1.60000002,  0.200000003,  0.166666672
    195,          1.5,  0.200000003,  0.166666672
    196,   1.39999998,  0.200000003,  0.166666672
    197,   1.29999995,  0.200000003,  0.166666672
    198,   1.20000005,  0.200000003,  0.166666672
    199,   1.10000002,  0.200000003,  0.166666672
    200,           1.,  0.200000003,  0.166666672
    201,  0.899999976,  0.200000003,  0.166666672
    202,  0.800000012,  0.200000003,  0.166666672
    203,  0.699999988,  0.200000003,  0.166666672
    204,  0.600000024,  0.200000003,  0.166666672
    205,          0.5,  0.200000003,  0.166666672
    206,  0.400000006,  0.200000003,  0.166666672
    207,  0.300000012,  0.200000003,  0.166666672
    208,  0.200000003,  0.200000003,  0.166666672
    209,  0.100000001,  0.200000003,  0.166666672
    210,           0.,  0.200000003,  0.166666672
    211,           2.,  0.200000003, 0.0833333358
    212,   1.89999998,  0.200000003, 0.0833333358
    213,   1.79999995,  0.200000003, 0.0833333358
    214,   1.70000005,  0.200000003, 0.0833333358
    215,   1.60000002,  0.200000003, 0.0833333358
    216,          1.5,  0.200000003, 0.0833333358
    217,   1.39999998,  0.200000003, 0.0833333358
    218,   1.29999995,  0.200000003, 0.0833333358
    219,   1.20000005,  0.200000003, 0.0833333358
    220,   1.10000002,  0.200000003, 0.0833333358
    221,           1.,  0.200000003, 0.0833333358
    222,  0.899999976,  0.200000003, 0.0833333358
    223,  0.800000012,  0.200000003, 0.0833333358
    224,  0.699999988,  0.200000003, 0.0833333358
    225,  0.600000024,  0.200000003, 0.0833333358
    226,          0.5,  0.200000003, 0.0833333358
    227,  0.400000006,  0.200000003, 0.0833333358
    228,  0.300000012,  0.200000003, 0.0833333358
    229,  0.200000003,  0.200000003, 0.0833333358
    230,  0.100000001,  0.200000003, 0.0833333358
    231,           0.,  0.200000003, 0.0833333358
    232,           2.,  0.200000003,           0.
    233,   1.89999998,  0.200000003,           0.
    234,   1.79999995,  0.200000003,           0.
    235,   1.70000005,  0.200000003,           0.
